number,title,state,created_at,closed_at,html_url,user,week_start_utc
2564,"Suggestion for formalizing a Time-Boxed Release Cycle with Feature Proposal, Development, and Review Windows",open,2025-08-28T12:28:49Z,,https://github.com/valkey-io/valkey/issues/2564,ranshid,2025-08-25T00:00:00Z
2332,[BUG] Exclude clusterbus link connection from maxclients config quota ,open,2025-07-09T03:04:10Z,,https://github.com/valkey-io/valkey/issues/2332,deepakrn,2025-07-07T00:00:00Z
2022,[High level design] Allow Read requests on I/O threads,open,2025-04-29T08:33:47Z,,https://github.com/valkey-io/valkey/issues/2022,touitou-dan,2025-04-28T00:00:00Z
1969,[NEW]Info Keysizes section,open,2025-04-17T18:19:32Z,,https://github.com/valkey-io/valkey/issues/1969,hwware,2025-04-14T00:00:00Z
1893,[NEW] Introducing an independent admin thread,open,2025-03-27T12:20:40Z,,https://github.com/valkey-io/valkey/issues/1893,arthurkiller,2025-03-24T00:00:00Z
1814,[NEW] Optimizing Cluster Topology Fetching with Hash Validation,open,2025-03-04T08:56:54Z,,https://github.com/valkey-io/valkey/issues/1814,stavbsamzn,2025-03-03T00:00:00Z
1652,[NEW] Introduce QUIC as a Transport Protocol for Valkey,open,2025-02-02T01:45:55Z,,https://github.com/valkey-io/valkey/issues/1652,PingXie,2025-01-27T00:00:00Z
1629,[BUG] Breaking Change to error handling in MULTI blocks,closed,2025-01-27T15:06:48Z,2025-07-21T14:31:20Z,https://github.com/valkey-io/valkey/issues/1629,MightySepp666,2025-01-27T00:00:00Z
1229,[NEW] Allow building with LuaJIT,open,2024-10-25T11:53:56Z,,https://github.com/valkey-io/valkey/issues/1229,secwall,2024-10-21T00:00:00Z
1204,[NEW] Disable LUA integration during build,open,2024-10-21T21:32:33Z,,https://github.com/valkey-io/valkey/issues/1204,hpatro,2024-10-21T00:00:00Z
1108,"[NEW] Rolling downgrade, forward compatibility",open,2024-10-02T14:40:23Z,,https://github.com/valkey-io/valkey/issues/1108,zuiderkwast,2024-09-30T00:00:00Z
