time,count
2025-03-17T00:00:00Z,5
2025-03-24T00:00:00Z,9
2025-03-31T00:00:00Z,14
2025-04-07T00:00:00Z,15
2025-04-14T00:00:00Z,18
2025-04-21T00:00:00Z,27
2025-04-28T00:00:00Z,10
2025-05-05T00:00:00Z,20
2025-05-12T00:00:00Z,16
2025-05-19T00:00:00Z,25
2025-05-26T00:00:00Z,16
2025-06-02T00:00:00Z,16
2025-06-09T00:00:00Z,20
2025-06-16T00:00:00Z,34
2025-06-23T00:00:00Z,17
2025-06-30T00:00:00Z,25
2025-07-07T00:00:00Z,20
2025-07-14T00:00:00Z,11
2025-07-21T00:00:00Z,7
2025-07-28T00:00:00Z,26
2025-08-04T00:00:00Z,30
2025-08-11T00:00:00Z,31
2025-08-18T00:00:00Z,29
2025-08-25T00:00:00Z,17
2025-09-01T00:00:00Z,12
2025-09-08T00:00:00Z,11
2025-09-15T00:00:00Z,2
