Week,Valkey: (Worldwide)
2024-09-15,11
2024-09-22,11
2024-09-29,9
2024-10-06,21
2024-10-13,24
2024-10-20,23
2024-10-27,19
2024-11-03,19
2024-11-10,22
2024-11-17,21
2024-11-24,25
2024-12-01,21
2024-12-08,27
2024-12-15,22
2024-12-22,14
2024-12-29,15
2025-01-05,22
2025-01-12,25
2025-01-19,25
2025-01-26,25
2025-02-02,30
2025-02-09,29
2025-02-16,31
2025-02-23,34
2025-03-02,34
2025-03-09,33
2025-03-16,32
2025-03-23,30
2025-03-30,34
2025-04-06,36
2025-04-13,40
2025-04-20,39
2025-04-27,54
2025-05-04,39
2025-05-11,43
2025-05-18,42
2025-05-25,41
2025-06-01,43
2025-06-08,40
2025-06-15,38
2025-06-22,39
2025-06-29,34
2025-07-06,37
2025-07-13,34
2025-07-20,38
2025-07-27,41
2025-08-03,55
2025-08-10,100
2025-08-17,81
2025-08-24,61
2025-08-31,43
2025-09-07,35
2025-09-14,30
