Day,Valkey: (Worldwide)
2025-06-16,56
2025-06-17,53
2025-06-18,59
2025-06-19,55
2025-06-20,54
2025-06-21,48
2025-06-22,41
2025-06-23,55
2025-06-24,56
2025-06-25,54
2025-06-26,52
2025-06-27,63
2025-06-28,37
2025-06-29,44
2025-06-30,46
2025-07-01,55
2025-07-02,52
2025-07-03,59
2025-07-04,48
2025-07-05,40
2025-07-06,48
2025-07-07,59
2025-07-08,53
2025-07-09,46
2025-07-10,51
2025-07-11,50
2025-07-12,39
2025-07-13,36
2025-07-14,47
2025-07-15,57
2025-07-16,51
2025-07-17,47
2025-07-18,46
2025-07-19,42
2025-07-20,48
2025-07-21,55
2025-07-22,45
2025-07-23,45
2025-07-24,51
2025-07-25,55
2025-07-26,46
2025-07-27,48
2025-07-28,46
2025-07-29,52
2025-07-30,56
2025-07-31,63
2025-08-01,53
2025-08-02,36
2025-08-03,50
2025-08-04,60
2025-08-05,62
2025-08-06,65
2025-08-07,63
2025-08-08,62
2025-08-09,51
2025-08-10,50
2025-08-11,73
2025-08-12,100
2025-08-13,89
2025-08-14,92
2025-08-15,92
2025-08-16,53
2025-08-17,61
2025-08-18,94
2025-08-19,92
2025-08-20,70
2025-08-21,59
2025-08-22,74
2025-08-23,42
2025-08-24,49
2025-08-25,59
2025-08-26,66
2025-08-27,71
2025-08-28,67
2025-08-29,64
2025-08-30,51
2025-08-31,57
2025-09-01,57
2025-09-02,52
2025-09-03,52
2025-09-04,48
2025-09-05,50
2025-09-06,42
2025-09-07,39
2025-09-08,47
2025-09-09,49
2025-09-10,51
2025-09-11,52
2025-09-12,45
2025-09-13,39
2025-09-14,35
2025-09-15,46
2025-09-16,51
